Con_id	Speed_limit	Road_Junction_Control	Pedestrian_Crossing-Human_Control	Pedestrian_Crossing-Physical_Facilities	Light_Conditions	Weather_Conditions	Road_Surface_Conditions	Special_Conditions_at_Site
657	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
658	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Wet/Damp	None
659	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
660	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
661	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present but unlit	Fine without high winds	Dry	None
662	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
663	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Other	Dry	None
664	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Darkness: Street lights present and lit	Snowing without high winds	Snow	None
665	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
666	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
667	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
668	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
669	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
670	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
671	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
672	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
673	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
674	20		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
675	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
676	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
677	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
678	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
679	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
680	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
681	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
682	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
683	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
684	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
685	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
686	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
687	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
688	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present but unlit	Fine without high winds	Dry	None
689	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
690	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
691	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
692	50		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
693	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
694	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
695	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Other	Wet/Damp	None
696	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
697	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
698	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
699	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
700	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Wet/Damp	None
701	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Raining without high winds	Wet/Damp	None
702	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Wet/Damp	None
703	30	Giveway or uncontrolled	None within 50 metres	non-junction pedestrian crossing	Daylight: Street light present	Other	Wet/Damp	None
704	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Raining without high winds	Wet/Damp	None
705	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
706	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
707	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
708	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
709	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	Ol or diesel
710	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
711	30	Giveway or uncontrolled	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Wet/Damp	None
712	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Raining without high winds	Wet/Damp	None
713	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
714	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
715	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
716	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
717	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
718	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
719	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
720	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
721	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
722	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
723	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
724	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Wet/Damp	None
725	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
726	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
727	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
728	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Raining without high winds	Wet/Damp	None
729	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
730	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
731	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
732	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
733	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
734	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
735	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Raining without high winds	Wet/Damp	None
736	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
737	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
738	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
739	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Raining without high winds	Wet/Damp	None
740	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
741	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	Roadworks
742	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
743	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
744	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
745	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
746	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
747	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
748	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
749	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Wet/Damp	None
750	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
751	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
752	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
753	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
754	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Wet/Damp	None
755	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
756	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
757	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
758	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
759	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
760	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Raining without high winds	Wet/Damp	None
761	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
762	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
763	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
764	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
765	30		None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
766	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
767	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
768	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
769	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
770	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
771	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
772	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
773	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
774	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
775	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
776	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
777	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	Ol or diesel
778	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
779	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
780	30		None within 50 metres	non-junction pedestrian crossing	Daylight: Street light present	Fine without high winds	Dry	None
781	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
782	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
783	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
784	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
785	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
786	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
787	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
788	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
789	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
790	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
791	30	Giveway or uncontrolled	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
792	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
793	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Darkness: Street lights present and lit	Fine without high winds	Dry	None
794	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
795	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
796	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
797	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
798	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
799	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
800	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
801	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Darkness: Street lights present and lit	Fine without high winds	Dry	None
802	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
803	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Raining without high winds	Wet/Damp	None
804	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
805	30	Giveway or uncontrolled	Control by school crossing patrol	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
806	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
807	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
808	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
809	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
810	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
811	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
812	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
813	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
814	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
815	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
816	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
817	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
818	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
819	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
820	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
821	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
822	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
823	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
824	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
825	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
826	30		None within 50 metres	non-junction pedestrian crossing	Daylight: Street light present	Fine without high winds	Wet/Damp	None
827	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
828	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
829	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
830	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
831	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
832	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
833	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
834	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
835	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
836	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
837	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
838	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
839	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
840	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
841	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
842	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
843	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
844	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
845	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
846	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
847	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
848	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
849	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
850	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
851	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
852	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
853	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
854	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
855	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
856	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Wet/Damp	None
857	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
858	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
859	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
860	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
861	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Raining without high winds	Wet/Damp	None
862	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
863	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Raining without high winds	Wet/Damp	None
864	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
865	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
866	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Unknown	Dry	None
867	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
868	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
869	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
870	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
871	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
872	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
873	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
874	40	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
875	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
876	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
877	30	Giveway or uncontrolled	None within 50 metres	non-junction pedestrian crossing	Daylight: Street light present	Fine without high winds	Dry	None
878	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
879	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
880	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
881	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
882	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
883	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
884	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
885	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
